symbol,marketcapname,market_cap,industry,sector,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses
UNIDT,smallcap,493.91,engineering,industrials,True,,10.0,190.0,44.61871639461035,36.09213887582641,6.0,3.0,3.0,50.0,37.79733300180064,3.4444234532483464,12.599111000600212,1.1481411510827821,27.770911144657106,1.935563672508478,10.973486133406436,5.725484924758715,9.488057903979387,-1.0919967873735483,8.688723276191956,0.5684385012522629,0.7961455717614557,9.758998593673374,270.1701279406,36.32618982938478,36.09213887582641,-0.23405095355837346,7.833333333333333,23.0,0.0,2.0,2.0
WINDMACHIN,smallcap,2568.33,engineering,industrials,True,,40.0,200.0,34.970317325297614,26.16509865150953,2.0,1.0,1.0,50.0,33.287498545952275,5.343636854275003,33.287498545952275,5.343636854275003,33.287498545952275,5.343636854275003,6.229371391381451,13.971930845838635,21.424722283422803,-2.8197950595644725,7.597971423757274,0.5870145782525388,0.6878831015463981,11.925403609207063,168.34796511192673,16.64959857165482,26.16509865150953,9.51550007985471,22.0,38.0,6.0,1.0,1.0
HONDAPOWER,smallcap,2320.02,electric equipment,industrials,True,,50.0,200.0,22.295126098216357,15.449346075180959,3.0,2.0,1.0,66.66666666666666,17.36869703084938,2.112640365752605,8.68434851542469,2.112640365752605,12.948859556110381,2.112640365752605,8.221322148534245,5.0853522216989235,8.453799501179082,-1.6488536171898158,5.127077026756998,0.4563853348690267,0.5999365109888072,6.854058009453401,84.06974392366963,10.056925996204935,15.449346075180959,5.3924200789760235,17.333333333333332,35.0,2.0,2.0,1.0
KLBRENG-B,smallcap,2777.34,engineering,industrials,True,,45.0,70.0,-6.287696684570426,-3.388110516752685,3.0,1.0,2.0,33.33333333333333,0.6198347107438051,4.021041173826056,0.6198347107438051,2.010520586913028,0.6198347107438051,2.5239777889954573,0.15414781494366717,-1.133735487694084,2.1258773834933686,-2.3456272472890247,0.9063150958663047,-0.19330574452118274,-0.1276197049727205,7.613300594040362,-23.942942683226363,-7.939508506616255,-3.388110516752685,4.55139798986357,3.6666666666666665,6.0,1.0,1.0,2.0
SNOWMAN,smallcap,616.89,miscellaneous,transportation,True,,35.0,200.0,22.111650815211497,15.470037950500037,2.0,1.0,1.0,50.0,19.893735688552262,3.6896821277999425,19.893735688552262,3.6896821277999425,19.893735688552262,3.6896821277999425,5.391720749780241,8.10202678037616,15.535648002468593,-1.8448410638999713,8.421130853205547,0.44277419098076415,0.4438374282878844,10.743215932826944,84.20989903138138,2.0663462791039144,15.470037950500037,13.403691671396123,17.5,28.0,7.0,1.0,1.0
KOTYARK,smallcap,432.19,miscellaneous,miscellaneous,True,,45.0,100.0,42.7964303335862,33.84337664306225,3.0,3.0,0.0,100.0,30.827604559724065,0.0,10.275868186574687,0.0,14.324693042291958,0.0,,10.275868186574687,15.938455192620708,-1.087588127073728,14.654863174632867,0.5968702460349301,0.6487893913162079,8.510392620911123,249.94054193030246,23.888885223113743,33.84337664306225,9.954491419948507,13.0,14.0,12.0,3.0,0.0
LCCINFOTEC,smallcap,54.31,computers - education,services,True,,45.0,130.0,-15.691986414081219,-14.011029222255534,3.0,1.0,2.0,33.33333333333333,0.20450366369892947,14.710936576128564,0.20450366369892947,7.355468288064282,0.20450366369892947,8.644401650887012,0.013901471374078083,-4.835477637476545,7.063550313179934,-5.3126431015026565,1.3295736563184606,-0.11206381278837899,-0.0694263862125835,25.18041562547578,-47.32891504684667,-21.083174787286364,-14.011029222255534,7.07214556503083,8.333333333333334,17.0,3.0,1.0,2.0
USK,smallcap,129.81,construction,realty,True,,45.0,80.0,33.681685361275896,26.396206883171946,2.0,2.0,0.0,100.0,24.889317803840115,0.0,12.444658901920057,0.0,14.489317125671718,0.0,,12.444658901920057,18.772974713116966,-1.2061206351691667,15.564757094537171,0.48569856520692983,0.3472438922489157,10.706914124900313,170.44187363867104,-0.6399993896484379,26.396206883171946,27.036206272820383,11.5,14.0,9.0,2.0,0.0
SKMEGGPROD,smallcap,1225.77,food - processing - indian,fmcg,True,,5.0,70.0,63.89608764596765,52.94195675896714,12.0,7.0,5.0,58.333333333333336,52.39508926519815,5.972971632000856,7.485012752171165,1.1945943264001713,26.26392120722607,2.2730170355902746,8.77203048889194,3.8685098027664417,8.538844770804122,-0.733515638473035,11.640985308206242,0.7302753924667007,0.7415190680181121,19.80051835662212,507.7176015334212,57.742869390144506,52.94195675896714,-4.800912631177368,4.25,18.0,0.0,4.0,4.0
ADVANIHOTR,smallcap,490.29,hotels,services,True,,50.0,150.0,7.322807631634076,4.524740726407717,4.0,1.0,3.0,25.0,6.7116779728959575,2.057755024159469,6.7116779728959575,0.6859183413864897,6.7116779728959575,1.5449966317504282,3.261650630952767,1.163480737184122,3.2845133313041783,-0.8655479820948025,3.7947212624249747,0.18653779368175724,0.20806528323420223,3.6870042921129387,20.677221157875223,0.17071348729891245,4.524740726407717,4.354027239108804,12.25,28.0,3.0,1.0,2.0
